Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
RPD,"Rapid7, Inc.",34.58,-1.84,-5.05,892469.0,1127000.0,2.048,
NCNO,"nCino, Inc.",25.21,-1.34,-5.05,931021.0,709980.0,2.799,
NJDCY,Nidec Corporation,13.49,-0.71,-5.0,325527.0,269486.0,31.04,25.45
TXG,"10x Genomics, Inc.",45.53,-2.39,-4.99,1104000.0,1371000.0,5.212,
FTCH,Farfetch Limited,6.14,-0.32,-4.95,9845000.0,16510000.000000002,2.341,
OSH,"Oak Street Health, Inc.",27.68,-1.43,-4.91,1394000.0,2257000.0,6.724,
TRMD,TORM plc,24.8,-1.28,-4.91,533556.0,267614.0,2.029,6.15
PLTR,Palantir Technologies Inc.,7.02,-0.36,-4.88,22649000.0,32743000.000000004,14.603,
AMN,"AMN Healthcare Services, Inc.",96.75,-4.92,-4.84,1121000.0,683447.0,4.193,8.8
EPAM,"EPAM Systems, Inc.",331.95,-16.75,-4.8,336075.0,366929.0,19.092,46.56
WOLF,"Wolfspeed, Inc.",81.61,-4.11,-4.79,3642000.0,2888000.0,10.137,
QS,QuantumScape Corporation,7.87,-0.39,-4.72,6455000.0,7560000.0,3.431,
QDEL,QuidelOrtho Corporation,86.7,-4.28,-4.7,310714.0,651936.0,5.726,5.16
OLPX,"Olaplex Holdings, Inc.",5.88,-0.28,-4.55,1188000.0,3065000.0,3.817,14.0
AMED,"Amedisys, Inc.",91.52,-4.34,-4.53,315170.0,471398.0,2.974,24.34
RBA,Ritchie Bros. Auctioneers Incorporated,58.74,-2.75,-4.47,4379000.0,1429000.0,6.513,21.6
BOOT,"Boot Barn Holdings, Inc.",73.4,-3.35,-4.36,614725.0,748245.0,2.188,12.4
RELY,"Remitly Global, Inc.",11.85,-0.54,-4.36,1276000.0,863600.0,2.022,
DIDIY,DiDi Global Inc.,4.4,-0.2,-4.35,6006000.0,14331000.0,21.358,
PACB,"Pacific Biosciences of California, Inc.",10.84,-0.49,-4.32,2372000.0,4699000.0,2.451,
COIN,"Coinbase Global, Inc.",53.56,-2.4,-4.3,12414000.0,15882000.0,14.026,5.48
JTKWY,Just Eat Takeaway.com N.V.,4.93,-0.22,-4.27,35447.0,225645.0,5.381,
ESTC,Elastic N.V.,54.88,-2.43,-4.24,1603000.0,1530000.0,5.247,
ALHC,"Alignment Healthcare, Inc.",11.75,-0.52,-4.24,408675.0,751885.0,2.2,
HCA,"HCA Healthcare, Inc.",252.68,-11.13,-4.22,2076000.0,1242000.0,71.437,14.15
PKI,"PerkinElmer, Inc.",134.87,-5.88,-4.18,739760.0,868783.0,17.036,26.29
SE,Sea Limited,64.0,-2.73,-4.09,4003000.0,5822000.0,35.951,
GLOB,Globant S.A.,163.43,-6.95,-4.08,150865.0,300232.0,6.827,48.5
TWKS,"Thoughtworks Holding, Inc.",10.85,-0.46,-4.07,266594.0,782262.0,3.416,
